place_id,place_nr,description,place_owner_id,area_id,lastchecked,active
22,1,BornholmsLinjen,0,6,,1
3,1,"Dansk Folkeparti",0,3,,1
39,1,"Advice Scenen",0,2,,1
6,1,"Brandstationens Debattelt",0,4,,1
28,1,Apoteltet,4,10,,0
18,1,"Sinaturs Mad- og Mødested",0,5,,1
13,1,"Verdensmålenes Plads",3,1,,1
40,2,"Klima & Energi Scenen",0,2,,0
34,2,"FN Byen",0,1,,1
7,2,"Bedsteforældre for Asyl",0,4,,1
26,2,"Det Konservative Folkeparti",0,3,,1
23,2,Efterladen,0,6,,1
19,2,"Sinaturs Mødested",0,5,,1
1,3,SF,5,3,,1
20,3,"Debat og ØMad",0,5,,1
8,3,"Nye Borgerlige",0,4,,1
29,3,"Coop Salgsbod",0,10,,1
35,3,Forsvaret,0,1,,1
41,3,"Timm Vladimirs Køkken",2,2,,1
24,4,"Stik piben ind og lyt",0,6,,1
9,4,"Café Brandstationen",0,4,,1
30,4,"Coop Eventtelt",0,10,,1
36,4,Ungdomshøjen,0,1,,1
2,4,KristenDemokraterne,0,3,,1
11,5,Socialdemokratiet,1,4,,1
10,5,MUST,0,6,,1
31,5,"Coop CoCook",0,10,,1
37,5,"Højskolerns Folkekøkken",0,1,,1
4,5,Enhedslisten,0,3,,1
16,6,"Ann Thai",0,5,,1
12,6,"FOA og Pensam",0,4,,1
25,6,Menneskerettighedsteltet,0,6,,1
32,6,"Folkets Hus",0,10,,1
5,6,"Radikale Venstre",0,3,,1
38,6,"Landdistrikternes Telt",0,1,,1
42,6,"Klima & Energi Teltet",0,2,,1
17,7,"Tante Toast",0,5,,1
27,7,"KL's telt",0,6,,1
33,7,"Akademikernes Hus",0,10,,1
21,8,"Medieteltet og Radio Folkemødet",0,5,,1
14,8,Energibyerne.dk,0,2,,1
15,9,iLoveGolbalGoals,0,2,,0
